chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,accounting_layer,accounting_note,source_type
juno,current,juno100rmc4gxgr7alet8myhll0st77ln4ygt8zuh7h,cosmos100rmc4gxgr7alet8myhll0st77ln4ygt3slvet,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1076252,1.076252,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102347ruftecjedq46chpcg5lz33e0d4gkh66vn,cosmos102347ruftecjedq46chpcg5lz33e0d4gq9ept0,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,2206001,2.206001,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102cds4w2edatrla99dn9cdal8k0ne9udafy2wc,cosmos102cds4w2edatrla99dn9cdal8k0ne9udtm83fy,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,63785,0.063785,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102fyydy26y3j2prnnksn0nk75n8xsdc63mzn8y,cosmos102fyydy26y3j2prnnksn0nk75n8xsdc68fpgqc,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,13127,0.013127,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102r9mpa7cz8apa3987xgaeaevz4v4z5mu2uh3d,cosmos102r9mpa7cz8apa3987xgaeaevz4v4z5m2clvk3,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,137803,0.137803,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102ulxjq2zs8q7zc60wg7pe7zv03fspzxs4y7vk,cosmos102ulxjq2zs8q7zc60wg7pe7zv03fspzxx889t2,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,5797086,5.797086,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102v5hzgvgzktwd33hszevkfcsqyh60xgymevau,cosmos102v5hzgvgzktwd33hszevkfcsqyh60xgjf6h6q,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,650986,0.650986,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno102wxqcqnu8hvgaxlq2ur9n734s20g8tgjr8t4w,cosmos102wxqcqnu8hvgaxlq2ur9n734s20g8tgy3ysjj,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,451132,0.451132,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno1034gpkf540sy3fm6pvh34p3p3jy3w426uynuch,cosmos1034gpkf540sy3fm6pvh34p3p3jy3w4262ks8lt,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,41588917,41.588917,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno103l025fw2x7d8k8px7d07vu667x0h5p56mnveh,cosmos103l025fw2x7d8k8px7d07vu667x0h5p5vfsh7t,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,137,0.000137,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno103verdnv4pzztty50ua7gs5gj25l2gwu0msyxy,cosmos103verdnv4pzztty50ua7gs5gj25l2gwuefnlpc,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,1017381,1.017381,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno103ysfd229vnd4a8382t0hgv03h8pcjq5xuq9cx,cosmos103ysfd229vnd4a8382t0hgv03h8pcjq5swr7l6,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,31285,0.031285,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno104gtuzygflxu0trwgy2skqw5dzqeaqv5jjh9lt,cosmos104gtuzygflxu0trwgy2skqw5dzqeaqv5yq57ch,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,4957,0.004957,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno104h8x484ps9nj2467mzwmqspkwf0u7wfxrzumv,cosmos104h8x484ps9nj2467mzwmqspkwf0u7wfs3p8us,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,474738,0.474738,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
juno,current,juno104rmu0ag94ljwayu4qdh803g8rwrecqtuyquv6,cosmos104rmu0ag94ljwayu4qdh803g8rwrecqt2kr8tx,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,2020,0.002020,,,das_staking_pending_claim,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; unbonding/pending claim PHMN attributed to user.,das_pending_claim
juno,current,juno104zwnd55uf8e07ehzljecpj764rsmvwd96gs65,cosmos104zwnd55uf8e07ehzljecpj764rsmvwdngttag,cw20:juno1rws84uz7969aaa7pej303udhlkt3j9ca0l3egpcae98jwak9quzq8szn2l,321090,0.321090,,,das_staking_active,Expanded from DAS staking contract juno1jktfdt5g2d0fguvy8r8pl4gly7wps8phkwy08z6upc4nazkumrwq7lj0vn; active staked PHMN attributed to user.,das_staked
